[2016/4/8 - 14:14:48] HoangXuan_Dien(3) (Ping: 22) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: LDT_Vu(20) | Frames: 50
[2016/4/8 - 14:14:49] HoangXuan_Dien(3) (Ping: 22) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: LDT_Vu(20) | Frames: 50
[2016/4/8 - 14:14:51] [PRISONED] HoangXuan_Dien(3) (Ping: 22) | damage: 0.000000 | Weapon: M4 | Issuer: LDT_TaiBa(4) | Frames: 49
[2016/4/8 - 15:20:08] Dj_OngTrum(20) (Ping: 16) | damage: 0.000000 | Weapon: M4 | Issuer: Hoai(11) | Frames: 101
[2016/4/8 - 15:20:08] Dj_OngTrum(20) (Ping: 16) | damage: 0.000000 | Weapon: M4 | Issuer: Hoai(11) | Frames: 101
[2016/4/8 - 15:20:09] [PRISONED] Dj_OngTrum(20) (Ping: 16) | damage: 0.000000 | Weapon: M4 | Issuer: Hoai(11) | Frames: 101
[2016/4/8 - 16:09:57] DJ_OngTrum(12) (Ping: 21) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Minh_Cutee(28) | Frames: 102
[2016/4/8 - 16:10:05] DJ_OngTrum(12) (Ping: 21) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Minh_Cutee(28) | Frames: 100
[2016/4/8 - 16:10:06] [PRISONED] DJ_OngTrum(12) (Ping: 15) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Minh_Cutee(28) | Frames: 101
[2016/4/9 - 8:26:21] Mr_Huy(13) (Ping: 15) | damage: 0.000000 | Weapon: M4 | Issuer: Nguyen.Van_Sang(9) | Frames: 53
[2016/4/9 - 8:26:22] Mr_Huy(13) (Ping: 15) | damage: 0.000000 | Weapon: M4 | Issuer: Nguyen.Van_Sang(9) | Frames: 52
[2016/4/9 - 8:26:22] [PRISONED] Mr_Huy(13) (Ping: 15) | damage: 0.000000 | Weapon: M4 | Issuer: Nguyen.Van_Sang(9) | Frames: 52
[2016/4/9 - 8:33:48] Mr_Huy(20) (Ping: 41) | damage: 0.000000 | Weapon: M4 | Issuer: Army_Hanh(3) | Frames: 53
[2016/4/9 - 8:34:11] Mr_Huy(20) (Ping: 60) | damage: 0.000000 | Weapon: M4 | Issuer: Army_Hanh(3) | Frames: 54
[2016/4/9 - 8:34:12] [PRISONED] Mr_Huy(20) (Ping: 60) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: DJ_photrum(6) | Frames: 54
[2016/4/9 - 8:37:22] Mr_Huy(20) (Ping: 80) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Army_Hanh(3) | Frames: 53
[2016/4/9 - 19:24:07] HM_Ratt(27) (Ping: 18) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Wrath_My(26) | Frames: 21
[2016/4/9 - 19:24:08] HM_Ratt(27) (Ping: 18) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Wrath_My(26) | Frames: 21
[2016/4/9 - 19:24:08] [PRISONED] HM_Ratt(27) (Ping: 18) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Wrath_My(26) | Frames: 21
[2016/4/10 - 8:39:27] HM_Ratt(2) (Ping: 20) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Doraemon_An(22) | Frames: 21
[2016/4/10 - 8:39:28] HM_Ratt(2) (Ping: 20) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Doraemon_An(22) | Frames: 21
[2016/4/10 - 9:21:21] [PRISONED] HM_Ratt(2) (Ping: 15) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Trong_hardy(9) | Frames: 21
[2016/4/10 - 9:21:25] Jackson_Martinez(16) (Ping: 38) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Swag_Dat(39) | Frames: 54
[2016/4/10 - 9:21:25] Jackson_Martinez(16) (Ping: 38) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Swag_Dat(39) | Frames: 54
[2016/4/10 - 9:21:25] [PRISONED] Jackson_Martinez(16) (Ping: 38) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Swag_Dat(39) | Frames: 54
[2016/4/10 - 9:29:53] Clown_GamBit(41) (Ping: 21) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Robin_Nicolas(34) | Frames: 54
[2016/4/10 - 9:29:54] Clown_GamBit(41) (Ping: 21) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Robin_Nicolas(34) | Frames: 53
[2016/4/10 - 9:29:54] [PRISONED] Clown_GamBit(41) (Ping: 21) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Robin_Nicolas(34) | Frames: 54
[2016/4/10 - 9:30:19] Ratt_Soul(10) (Ping: 20) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_CoDoc(19) | Frames: 21
[2016/4/10 - 9:30:20] Ratt_Soul(10) (Ping: 20) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_CoDoc(19) | Frames: 21
[2016/4/10 - 9:30:21] [PRISONED] Ratt_Soul(10) (Ping: 22) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_CoDoc(19) | Frames: 21
[2016/4/10 - 10:11:03] Clown_GamBit(73) (Ping: 22) | damage: 0.000000 | Weapon: M4 | Issuer: [Yakuza]_TaiBa(2) | Frames: 49
[2016/4/10 - 10:11:03] Clown_GamBit(73) (Ping: 22) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Brandon_Stack(36) | Frames: 49
[2016/4/10 - 10:11:06] [PRISONED] Clown_GamBit(73) (Ping: 22) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Brandon_Stack(36) | Frames: 54
[2016/4/10 - 10:11:06] Clown_GamBit(73) (Ping: 22) | damage: 0.000000 | Weapon: M4 | Issuer: Yakuza_Binn(65) | Frames: 54
[2016/4/10 - 10:31:25] Jack_GamBit(41) (Ping: 66) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Natsu_Aztecas(27) | Frames: 53
[2016/4/10 - 10:31:26] Jack_GamBit(41) (Ping: 66) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Natsu_Aztecas(27) | Frames: 53
[2016/4/10 - 10:31:26] [PRISONED] Jack_GamBit(41) (Ping: 66) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Natsu_Aztecas(27) | Frames: 53
[2016/4/10 - 17:14:20] Mr_Huy(7) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: [Yakuza]_TaiBa(11) | Frames: 53
[2016/4/10 - 17:14:21] Mr_Huy(7) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: [Yakuza]_TaiBa(11) | Frames: 53
[2016/4/10 - 17:18:53] [PRISONED] Mr_Huy(7) (Ping: 17) | damage: 0.000000 | Weapon: M4 | Issuer: Ti_Life(0) | Frames: 47
[2016/4/10 - 17:21:32] Gia_Huys(16) (Ping: 19) | damage: 0.000000 | Weapon: MP5 | Issuer: Kevin_S_Johnson(65) | Frames: 39
[2016/4/10 - 17:21:32] Gia_Huys(16) (Ping: 19) | damage: 0.000000 | Weapon: MP5 | Issuer: Kevin_S_Johnson(65) | Frames: 50
[2016/4/10 - 17:21:32] [PRISONED] Gia_Huys(16) (Ping: 19) | damage: 0.000000 | Weapon: MP5 | Issuer: Kevin_S_Johnson(65) | Frames: 50
[2016/4/10 - 20:04:54] Aquarius_Mark(13) (Ping: 39) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Frozen_Loc(41) | Frames: 101
[2016/4/10 - 20:04:55] Aquarius_Mark(13) (Ping: 39) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Frozen_Loc(41) | Frames: 101
[2016/4/10 - 20:04:55] [PRISONED] Aquarius_Mark(13) (Ping: 39) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Frozen_Loc(41) | Frames: 101
[2016/4/10 - 20:37:22] Hardwell_Walter(9) (Ping: 35) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Joe_Harlow(55) | Frames: 54
[2016/4/10 - 20:37:23] Hardwell_Walter(9) (Ping: 35) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Joe_Harlow(55) | Frames: 53
[2016/4/10 - 21:03:15] Aquarius_Corleone(22) (Ping: 37) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Joe_Harlow(16) | Frames: 101
[2016/4/11 - 13:57:14] Genzo_Chibi(31) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Huy_Legendary(35) | Frames: 53
[2016/4/11 - 16:44:56] Hai_Van_Pham(25) (Ping: 47) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Thanh_S_Buzikk(9) | Frames: 52
[2016/4/11 - 16:44:57] Hai_Van_Pham(25) (Ping: 47) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Thanh_S_Buzikk(9) | Frames: 52
[2016/4/11 - 16:44:57] [PRISONED] Hai_Van_Pham(25) (Ping: 47) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Thanh_S_Buzikk(9) | Frames: 51
[2016/4/12 - 13:15:27] Mr_Canabis(21) (Ping: 16) | damage: 0.000000 | Weapon: MP5 | Issuer: Zing_Speed(9) | Frames: 102
[2016/4/12 - 13:15:28] Mr_Canabis(21) (Ping: 15) | damage: 0.000000 | Weapon: MP5 | Issuer: Zing_Speed(9) | Frames: 101
[2016/4/12 - 13:15:31] [PRISONED] Mr_Canabis(21) (Ping: 15) | damage: 0.000000 | Weapon: MP5 | Issuer: Zing_Speed(9) | Frames: 102
[2016/4/12 - 15:43:23] Mr_Canabis(2) (Ping: 15) | damage: 0.000000 | Weapon: M4 | Issuer: Nguyen_Bo(5) | Frames: 101
[2016/4/13 - 9:28:41] Jackson_Martinez(48) (Ping: 51) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr_Mafia(42) | Frames: 53
[2016/4/13 - 9:29:16] Jackson_Martinez(48) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr_Mafia(42) | Frames: 53
[2016/4/13 - 9:29:16] [PRISONED] Jackson_Martinez(48) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr_Mafia(42) | Frames: 53
[2016/4/13 - 14:45:29] Mr_Canabis(4) (Ping: 20) | damage: 0.000000 | Weapon: MP5 | Issuer: TLB_Kiet(19) | Frames: 101
[2016/4/13 - 14:45:30] Mr_Canabis(4) (Ping: 20) | damage: 0.000000 | Weapon: MP5 | Issuer: TLB_Kiet(19) | Frames: 101
[2016/4/13 - 19:54:39] Rober_Hubs(103) (Ping: 24) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_S_Buzikk(28) | Frames: 4
[2016/4/13 - 19:54:40] Rober_Hubs(103) (Ping: 24) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_S_Buzikk(28) | Frames: 4
[2016/4/14 - 20:04:34] Co_Ven(9) (Ping: 50) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_Ty(52) | Frames: 61
[2016/4/14 - 20:04:34] Co_Ven(9) (Ping: 50) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_Ty(52) | Frames: 62
[2016/4/14 - 20:04:36] [PRISONED] Co_Ven(9) (Ping: 34) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_Ty(52) | Frames: 62
[2016/4/14 - 20:05:18] Co_Ven(9) (Ping: 46) | damage: 0.000000 | Weapon: MP5 | Issuer: Mark_Zozo(66) | Frames: 51
[2016/4/14 - 20:05:18] Co_Ven(9) (Ping: 46) | damage: 0.000000 | Weapon: MP5 | Issuer: Mark_Zozo(66) | Frames: 49
[2016/4/14 - 20:05:18] [PRISONED] Co_Ven(9) (Ping: 46) | damage: 0.000000 | Weapon: MP5 | Issuer: Mark_Zozo(66) | Frames: 49
[2016/4/14 - 20:45:26] Roys_NeHihi(46) (Ping: 50) | damage: 0.000000 | Weapon: MP5 | Issuer: Aquarius_Fuck(78) | Frames: 22
[2016/4/14 - 20:45:26] Roys_NeHihi(46) (Ping: 50) | damage: 0.000000 | Weapon: MP5 | Issuer: Aquarius_Fuck(78) | Frames: 22
[2016/4/14 - 20:45:37] [PRISONED] Roys_NeHihi(46) (Ping: 35) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Army_Troll(45) | Frames: 23
[2016/4/14 - 20:50:21] Huynh_Thanh_Dat(46) (Ping: 24) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Army_Troll(45) | Frames: 16
[2016/4/14 - 20:50:22] Huynh_Thanh_Dat(46) (Ping: 24) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Army_Troll(45) | Frames: 15
[2016/4/14 - 20:50:23] [PRISONED] Huynh_Thanh_Dat(46) (Ping: 24) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Army_Troll(45) | Frames: 15
[2016/4/14 - 20:57:18] Hardwell_Nunu(30) (Ping: 35) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Max_Phap(51) | Frames: 54
[2016/4/14 - 20:57:18] Hardwell_Nunu(30) (Ping: 35) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Max_Phap(51) | Frames: 54
[2016/4/14 - 20:57:18] [PRISONED] Hardwell_Nunu(30) (Ping: 40) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Max_Phap(51) | Frames: 53
[2016/4/14 - 21:23:42] Roys_Hihi_Ne(43) (Ping: 36) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Le_Van_Phap(51) | Frames: 24
[2016/4/14 - 21:23:42] Roys_Hihi_Ne(43) (Ping: 36) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Le_Van_Phap(51) | Frames: 24
[2016/4/14 - 21:23:43] [PRISONED] Roys_Hihi_Ne(43) (Ping: 40) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Le_Van_Phap(51) | Frames: 24
[2016/4/15 - 10:22:50] Roman_Reings(65) (Ping: 51) | damage: 0.000000 | Weapon: MP5 | Issuer: Jonh_Nguyen(56) | Frames: 43
[2016/4/15 - 10:22:59] Roman_Reings(65) (Ping: 42) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jonh_Nguyen(56) | Frames: 43
[2016/4/15 - 10:23:00] [PRISONED] Roman_Reings(65) (Ping: 42) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jonh_Nguyen(56) | Frames: 43
[2016/4/15 - 10:43:45] Vu_Slayer(2) (Ping: 35) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Max_Clark(70) | Frames: 73
[2016/4/15 - 10:44:00] Vu_Slayer(2) (Ping: 31) | damage: 0.000000 | Weapon: Shotgun | Issuer: Blue_Smith(23) | Frames: 65
[2016/4/15 - 11:50:59] Minh_Hungg(13) (Ping: 20) | damage: 0.000000 | Weapon: MP5 | Issuer: Bin_Gover(1) | Frames: 53
[2016/4/15 - 11:50:59] Minh_Hungg(13) (Ping: 20) | damage: 0.000000 | Weapon: MP5 | Issuer: Bin_Gover(1) | Frames: 53
[2016/4/15 - 11:51:01] [PRISONED] Minh_Hungg(13) (Ping: 20) | damage: 0.000000 | Weapon: MP5 | Issuer: Bin_Gover(1) | Frames: 54
[2016/4/15 - 20:44:56] Co_Que(38) (Ping: 31) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Ney_Gambit(31) | Frames: 51
[2016/4/15 - 20:44:57] Co_Que(38) (Ping: 31) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Ney_Gambit(31) | Frames: 45
[2016/4/15 - 20:44:57] [PRISONED] Co_Que(38) (Ping: 31) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Ney_Gambit(31) | Frames: 45
[2016/4/15 - 20:50:59] Huynh_Tram_Anh(93) (Ping: 50) | damage: 0.000000 | Weapon: Sniper Rifle | Issuer: Jack_GamBit(100) | Frames: 30
[2016/4/15 - 20:51:00] Huynh_Tram_Anh(93) (Ping: 50) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Tony_Dep(97) | Frames: 30
[2016/4/15 - 20:51:00] [PRISONED] Huynh_Tram_Anh(93) (Ping: 50) | damage: 0.000000 | Weapon: Sniper Rifle | Issuer: Jack_GamBit(100) | Frames: 30
[2016/4/15 - 20:53:47] edward_chonac(26) (Ping: 24) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: TiVii_GamBit(1) | Frames: 38
[2016/4/15 - 21:04:56] Han_Soaity(97) (Ping: 37) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jack_GamBit(88) | Frames: 50
[2016/4/15 - 21:46:33] beetroll_hecarin(39) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: OngTrum_Seven(45) | Frames: 47
[2016/4/15 - 21:46:33] beetroll_hecarin(39) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: OngTrum_Seven(45) | Frames: 47
[2016/4/15 - 21:46:34] [PRISONED] beetroll_hecarin(39) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: OngTrum_Seven(45) | Frames: 32
[2016/4/15 - 22:04:55] beetroll_matuyda(18) (Ping: 25) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Nguyen_Khang_GD(43) | Frames: 53
[2016/4/15 - 22:04:56] beetroll_matuyda(18) (Ping: 25) | damage: 0.000000 | Weapon: Sniper Rifle | Issuer: Matthew_Award(68) | Frames: 54
[2016/4/15 - 22:04:57] [PRISONED] beetroll_matuyda(18) (Ping: 20) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Nguyen_Khang_GD(43) | Frames: 54
[2016/4/15 - 22:09:14] Taola_Trumsesver(8) (Ping: 21) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Darks_Night(22) | Frames: 83
[2016/4/15 - 22:09:15] Taola_Trumsesver(8) (Ping: 21) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Darks_Night(22) | Frames: 83
[2016/4/16 - 8:00:48] Trung_Rifa(8) (Ping: 42) | damage: 0.000000 | Weapon: M4 | Issuer: Tom_matthew(53) | Frames: 53
[2016/4/16 - 8:00:48] Trung_Rifa(8) (Ping: 42) | damage: 0.000000 | Weapon: M4 | Issuer: Tom_matthew(53) | Frames: 53
[2016/4/16 - 8:00:48] [PRISONED] Trung_Rifa(8) (Ping: 42) | damage: 0.000000 | Weapon: M4 | Issuer: Tom_matthew(53) | Frames: 53
[2016/4/16 - 11:06:56] Mr_Datss(38) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Ney_Gambit(33) | Frames: 31
[2016/4/16 - 11:06:57] Mr_Datss(38) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Ney_Gambit(33) | Frames: 31
[2016/4/16 - 11:06:57] [PRISONED] Mr_Datss(38) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Ney_Gambit(33) | Frames: 31
[2016/4/16 - 12:20:11] Tuan_Chodien(48) (Ping: 22) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Black_Truong(28) | Frames: 51
[2016/4/16 - 12:20:15] Tuan_Chodien(48) (Ping: 22) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Black_Truong(28) | Frames: 51
[2016/4/16 - 18:04:30] Roys_Ne_May_Che(88) (Ping: 41) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr______mafia(81) | Frames: 41
[2016/4/16 - 18:04:32] Roys_Ne_May_Che(88) (Ping: 36) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr______mafia(81) | Frames: 33
[2016/4/16 - 18:04:33] [PRISONED] Roys_Ne_May_Che(88) (Ping: 36) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Mr______mafia(81) | Frames: 39
[2016/4/16 - 18:20:35] Tom_Arrellanosss(73) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Bucky_Barnes(29) | Frames: 31
[2016/4/16 - 18:20:35] Tom_Arrellanosss(73) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Bucky_Barnes(29) | Frames: 31
[2016/4/16 - 18:20:35] [PRISONED] Tom_Arrellanosss(73) (Ping: 28) | damage: 0.000000 | Weapon: MP5 | Issuer: Bucky_Barnes(29) | Frames: 31
[2016/4/16 - 20:04:11] John_Ngoc(56) (Ping: 46) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jack_GamBit(97) | Frames: 44
[2016/4/16 - 20:04:13] John_Ngoc(56) (Ping: 50) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jack_GamBit(97) | Frames: 45
[2016/4/16 - 20:21:52] Gia_Long(27) (Ping: 36) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Smith_S_Buzikk(57) | Frames: 54
[2016/4/16 - 20:22:30] Gia_Long(27) (Ping: 31) | damage: 0.000000 | Weapon: Shotgun | Issuer: Bin_Bin(95) | Frames: 52
[2016/4/16 - 20:22:30] [PRISONED] Gia_Long(27) (Ping: 31) | damage: 0.000000 | Weapon: Shotgun | Issuer: Bin_Bin(95) | Frames: 52
[2016/4/16 - 20:22:30] Gia_Long(27) (Ping: 31) | damage: 0.000000 | Weapon: Shotgun | Issuer: Bin_Bin(95) | Frames: 52
[2016/4/16 - 20:22:30] Gia_Long(27) (Ping: 31) | damage: 0.000000 | Weapon: Shotgun | Issuer: Bin_Bin(95) | Frames: 52
