[2016/4/7 - 13:37:25] AdmCmd: Hacker Nam da bi dua vao tu boi Tuan God, Ly do: KOS + amibot
[2016/4/7 - 13:43:10] AdmCmd: Nguyen Nam da bi dua vao tu boi Tuan God, Ly do: KOS
[2016/4/7 - 13:51:38] AdmCmd: Kaneki Ken da bi dua vao tu boi Edwards S Buzikk, Ly do: kos
[2016/4/7 - 13:51:48] AdmCmd: Nhat anh da bi dua vao tu boi Edwards S Buzikk, Ly do: kos
[2016/4/7 - 13:57:03] AdmCmd: Yakuza Ken da bi dua vao tu boi Edwards S Buzikk, Ly do: lam dung may bay IS
[2016/4/7 - 14:03:10] AdmCmd: Jei Keny da bi dua vao tu boi Edwards S Buzikk, Ly do: Auto Minigun [ Hách súng ]
[2016/4/7 - 14:04:01] AdmCmd: Khang DepTrai da bi dua vao tu boi Army Max, Ly do: Rapid 
[2016/4/7 - 14:04:55] AdmCmd: VK KenNy da bi dua vao tu boi Edwards S Buzikk, Ly do: kos
[2016/4/7 - 14:09:16] AdmCmd: Nam Long da bi dua vao tu boi Edwards S Buzikk, Ly do: Auto Minigun
[2016/4/7 - 14:16:25] AdmCmd: Kaneki Over da bi dua vao tu boi Army Max, Ly do: KOS
[2016/4/7 - 14:23:08] AdmCmd: David Bill da bi dua vao tu boi Edwards S Buzikk, Ly do: hách
[2016/4/7 - 14:23:14] AdmCmd: Richard sa da bi dua vao tu boi Edwards S Buzikk, Ly do: hách
[2016/4/7 - 14:27:10] AdmCmd: Mark Zobi da bi dua vao tu boi Andriano Mocleaner, Ly do: Hack
[2016/4/7 - 14:27:51] AdmCmd: Xe Om da bi dua vao tu boi Army Max, Ly do: KOS
[2016/4/7 - 14:28:59] AdmCmd: Flash Keny da bi dua vao tu boi Army Max, Ly do: DB
[2016/4/7 - 14:30:34] AdmCmd: JaimeJimenez Monter da bi dua vao tu boi Army Max, Ly do: God
[2016/4/7 - 14:31:57] AdmCmd: Minh CanabiS da bi dua vao tu boi Edwards S Buzikk, Ly do: God Event
[2016/4/7 - 14:40:35] AdmCmd: Fin Keny da bi dua vao tu boi Army Max, Ly do: DM [ Norp]
[2016/4/7 - 14:44:55] AdmCmd: Dinos Keny da bi dua vao tu boi Andriano Mocleaner, Ly do: KOS 
[2016/4/7 - 14:44:58] AdmCmd: Han Keny da bi dua vao tu boi Andriano Mocleaner, Ly do: KOS 
[2016/4/7 - 17:41:50] AdmCmd: Atana Hungg da bi dua vao tu boi Army Moon, Ly do: kos
[2016/4/7 - 17:52:47] AdmCmd: Alex Best da bi dua vao tu boi Army Moon, Ly do: kos
[2016/4/7 - 17:53:35] AdmCmd: KyLy gta da bi dua vao tu boi Army Moon, Ly do: kos
[2016/4/7 - 18:06:06] AdmCmd: Charles Brian da bi dua vao tu boi Cong Vo, Ly do: DM
[2016/4/7 - 18:34:34] AdmCmd: linh beo da bi dua vao tu boi Tan Dat, Ly do: KOS IN VIP
[2016/4/7 - 18:34:44] AdmCmd: Cong Vo da bi dua vao tu boi Tan Dat, Ly do: KOS IN VIP
[2016/4/7 - 18:48:43] AdmCmd: Dang Hoang Phuc da bi dua vao tu boi Tan Dat, Ly do: Faction Lam dung KOS IN VIP
[2016/4/7 - 22:23:32] AdmCmd: Tho Dumbo da bi dua vao tu boi Army Moon, Ly do: hacking ne fly nhu chim bay luon ghe
[2016/4/7 - 22:33:49] Nick phong has been made a moderator by Minato Charlotte
[2016/4/8 - 2:12:43] AdmCmd: Sam Regamay da bi dua vao tu boi Nick phong, Ly do: LSPD DM xac
[2016/4/8 - 9:52:18] AdmCmd: Nguyen Huu Duc da bi dua vao tu boi Andriano Mocleaner, Ly do: KOS + Cbug
[2016/4/8 - 11:04:10] AdmCmd: Dick Nes da bi dua vao tu boi Tuan God, Ly do: KOs
[2016/4/8 - 11:19:51] AdmCmd: alex luffy da bi dua vao tu boi Tuan God, Ly do: God 
[2016/4/8 - 11:27:06] Tuan God has been made a moderator by Minato Charlotte
[2016/4/8 - 11:34:15] AdmCmd: kudo Squa da bi dua vao tu boi Army Moon, Ly do: ? Faction no sung khong RP 
[2016/4/8 - 11:35:26] AdmCmd: Docter Fi da bi dua vao tu boi Army Moon, Ly do: kos 
[2016/4/8 - 11:53:23] AdmCmd: Hunter Dark da bi dua vao tu boi Edwards S Buzikk, Ly do: Kos Sniper in vip
[2016/4/8 - 13:01:13] AdmCmd: Carl Jonhson da bi dua vao tu boi Forever TOppi, Ly do: KOS in Víp Này
[2016/4/8 - 13:30:33] AdmCmd: Trung Delux da bi dua vao tu boi Forever TOppi, Ly do: KOS In víp
[2016/4/8 - 13:43:00] AdmCmd: Mafia Ngao (IP:113.170.87.17) da bi kick boi Tuan God, ly do: CR
[2016/4/8 - 13:47:10] AdmCmd: Army Ryn da bi dua vao tu boi Forever TOppi, Ly do: KOS In víp nà
[2016/4/8 - 13:52:15] AdmCmd: tai loc da bi dua vao tu boi Andriano Mocleaner, Ly do: KOS
[2016/4/8 - 13:57:36] AdmCmd: Hit Man da bi dua vao tu boi Quoc Dong, Ly do: KOS
[2016/4/8 - 14:08:49] AdmCmd: DaVil Bo da bi dua vao tu boi Forever TOppi, Ly do: KOS C.A
[2016/4/8 - 14:15:34] AdmCmd: HoangXuan Dien (IP:115.79.48.134) da bi kick boi Tuan God, ly do: ve tu
[2016/4/8 - 14:21:19] AdmCmd: DJ an da bi dua vao tu boi Andriano Mocleaner, Ly do: CR
[2016/4/8 - 14:28:20] AdmCmd: Amelo Coco (IP:115.79.48.134) da bi kick boi Tuan God, ly do: tron tu KOS
[2016/4/8 - 14:32:47] AdmCmd: Amelo Cocoo (IP:115.79.48.134) da bi kick boi Tuan God, ly do: tron tu tiep
[2016/4/8 - 14:40:34] AdmCmd: GoSu Dragon (IP:115.79.208.230) da bi kick boi Tuan God, ly do: Cr
[2016/4/8 - 14:48:22] AdmCmd: Bin Ngao da bi dua vao tu boi Andriano Mocleaner, Ly do: KOS in VIP
[2016/4/8 - 14:51:46] AdmCmd: Bin of da bi dua vao tu boi Andriano Mocleaner, Ly do: Coprun
[2016/4/8 - 15:03:46] AdmCmd: Dis Troll (IP:113.170.87.17) da bi kick boi nick phong, ly do: Hacking /Toppi
[2016/4/8 - 15:05:03] AdmCmd: Pin Ngao (IP:113.170.87.17) da bi kick boi nick phong, ly do: Kos 
[2016/4/8 - 15:23:57] AdmCmd: Ballas Huan (IP:113.163.99.244) da bi kick boi Tuan God, ly do: CS
[2016/4/8 - 15:27:24] AdmCmd: Dj Conheo da bi dua vao tu boi Tuan God, Ly do: Cleo 1 sKill
[2016/4/8 - 15:34:38] AdmCmd: Army Linnh da bi dua vao tu boi Andriano Mocleaner, Ly do: /q chon tranh
[2016/4/8 - 15:55:34] AdmCmd: Nam mob da bi dua vao tu boi Andriano Mocleaner, Ly do: Hack
[2016/4/8 - 18:42:18] AdmCmd: Thu Hanh da bi dua vao tu boi Micky Holdny, Ly do: KOS ! C.A [ Micky Holdny ]
[2016/4/8 - 18:59:40] AdmCmd: A C E da bi dua vao tu boi Nobita Nam, Ly do: Hack God
[2016/4/8 - 22:21:20] AdmCmd: Lean Statistics da bi dua vao tu boi Quoc Dong, Ly do: Faction di kos
[2016/4/9 - 10:59:18] AdmCmd: Quocc Dungg da bi dua vao tu boi Tuan God, Ly do: Fly car hay do
[2016/4/9 - 11:05:55] AdmCmd: Dung Nguyenn da bi dua vao tu boi Nguyen.Van Sang, Ly do: DM 
[2016/4/9 - 11:06:30] AdmCmd: Trum Co da bi dua vao tu boi Tuan God, Ly do: hacking ( Forever Toppi )
[2016/4/9 - 11:06:52] AdmCmd: Tieu Smalls da bi dua vao tu boi Tuan God, Ly do: hacking ( Forever Toppi )
[2016/4/9 - 11:07:40] AdmCmd: Tieu Smalls (IP:117.3.56.26) da bi kick boi Tuan God, ly do: Tele
[2016/4/9 - 11:09:07] AdmCmd: Dung Bato da bi dua vao tu boi Edwards S Buzikk, Ly do: Kos
[2016/4/9 - 11:12:28] AdmCmd: Tho Hacker da bi dua vao tu boi Forever Toppi, Ly do: KOS In Víp
[2016/4/9 - 14:20:39] AdmCmd: VicLam mix (IP:115.79.202.11) da bi kick boi Tuan God, ly do: Spam Chatlog
[2016/4/9 - 14:21:00] AdmCmd: thong tran da bi dua vao tu boi Tuan God, Ly do: Kos
[2016/4/9 - 14:31:45] AdmCmd: thong tran da bi dua vao tu boi Tuan God, Ly do: Kos
[2016/4/9 - 14:40:00] AdmCmd: Yakuza A (IP:115.75.209.204) da bi kick boi Tuan God, ly do: Dumper in city
[2016/4/9 - 14:59:21] AdmCmd: Phuc Dang (IP:115.73.255.78) da bi kick boi Tuan God, ly do: Skin NJ
[2016/4/9 - 15:05:41] AdmCmd: Delvin xinhzai da bi dua vao tu boi Tuan God, Ly do: DM Xac ( Forever Toppi )
[2016/4/9 - 18:37:36] AdmCmd: Thi Train da bi dua vao tu boi Nobita Nam, Ly do: KOS.
[2016/4/9 - 18:55:07] AdmCmd: Army Hanh da bi dua vao tu boi Nobita Nam, Ly do: CR
[2016/4/9 - 18:56:05] AdmCmd: Yakuza Tai da bi dua vao tu boi Huynh Thanh Van, Ly do: kos
[2016/4/9 - 19:04:26] AdmCmd: Tinh Lxng da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
[2016/4/9 - 19:04:33] AdmCmd: Army Bo da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
[2016/4/9 - 19:04:46] AdmCmd: Thien Khanh da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
[2016/4/9 - 19:04:50] AdmCmd: Jeremy Army da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
[2016/4/9 - 19:04:53] AdmCmd: Army Moon da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
[2016/4/9 - 19:04:54] AdmCmd: DUC CONG da bi dua vao tu boi Huynh Thanh Van, Ly do: KOS
